n,count
Abies magnifica A. Murray bis,1008
Abies lowiana (Gordon & Glend.) A. Murray bis,864
Pinus contorta Douglas ex Loudon,512
Quercus wislizeni A. DC.,270
Pinus jeffreyi Balf.,192
Quercus douglasii Hook. & Arn.,170
Pinus sabiniana Douglas ex Douglas,140
Rhamnus ilicifolia Kellogg,50
Fagus grandifolia Ehrh.,48
Ceanothus leucodermis Greene,30
Pinaceae sp.,24
Ceanothus cuneatus (Hook.) Nutt.,20
Lupinus albifrons Benth.,20
Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,16
Betula alleghaniensis Britton,13
Acer rubrum L.,12
Aesculus californica (Spach) Nutt.,10
Picea rubens Sarg.,2
Tsuga canadensis (L.) Carrière,1
